Scheme_Code,window_years,mean,min,max_cagr,overall_cagr,predicted_min_cagr,fund,starts_before_2018
118814,5,0.07690100251870197,0.06608001850998368,0.089819782948658,0.07925148989012576,0.0603407427050367,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118814,6,0.07737519689670287,0.06897123429297536,0.0889728438715578,0.07925148989012576,0.06585103608844184,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118814,7,0.0774451008262177,0.07004701372682098,0.0892102474126708,0.07925148989012576,0.06740330938630155,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118814,8,0.07710266416602156,0.07198222778229901,0.08720627154620053,0.07925148989012576,0.06928317257544538,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118814,9,0.07692130938604806,0.07175620578000297,0.08304710052729702,0.07925148989012576,0.0700321245957048,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118814,10,0.07772885457873946,0.07360553277299364,0.08063766898492886,0.07925148989012576,0.07185554896976602,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,True
118872,1,0.2035657985472418,-0.24223683364814197,0.9538545797694731,0.1568341335718335,-0.13683940305509065,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,2,0.1866385789913089,-0.145326553422094,0.5785793978548968,0.1568341335718335,-0.05974747944484123,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,3,0.17710729386058272,-0.03825075487021279,0.39556885698547095,0.1568341335718335,-0.005082584784359236,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,4,0.17362663967170722,0.037820585088975456,0.3610577562747883,0.1568341335718335,0.03271627893342442,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,5,0.1699377496981689,0.01652053337048942,0.29739799884677676,0.1568341335718335,0.051044034729910925,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,6,0.16456541262833274,0.10109159514649924,0.22563801466288358,0.1568341335718335,0.07421073087699505,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,7,0.16203640880687065,0.11153977909445434,0.21102663719614867,0.1568341335718335,0.09556278146688414,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,8,0.16683725597014878,0.11398135117251962,0.24269419881302223,0.1568341335718335,0.10026002436932403,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,9,0.16946947758197292,0.12425187092867263,0.2192965310051045,0.1568341335718335,0.10425526998087055,Taurus Mid Cap Fund - Direct Plan - Growth,True
118872,10,0.17356650643956834,0.12823590633861337,0.22902723967694105,0.1568341335718335,0.10869150191707205,Taurus Mid Cap Fund - Direct Plan - Growth,True
118987,1,0.08084641638273847,0.017989451830154213,0.1327582206719622,0.07995276668705054,0.04129470711267677,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,2,0.08087747365731383,0.03804295614100184,0.11801443253049593,0.07995276668705054,0.042904223279869314,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,3,0.07992369592697827,0.050127300286735066,0.1120560077040853,0.07995276668705054,0.05002187563076218,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,4,0.07905781405915684,0.057945562127724504,0.10650149757416072,0.07995276668705054,0.05694763447621571,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,5,0.07896990424208013,0.06064427720289545,0.09407861707838983,0.07995276668705054,0.0603407427050367,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,6,0.08022308554171466,0.06327921380065438,0.09653875495493569,0.07995276668705054,0.06585103608844184,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,7,0.0805454263300997,0.07034765285579603,0.09891746712224725,0.07995276668705054,0.06740330938630155,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,8,0.07952122190007617,0.07239772283804702,0.09419039242093552,0.07995276668705054,0.06928317257544538,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,9,0.07882792001601954,0.07178563683202355,0.08682515046760919,0.07995276668705054,0.0700321245957048,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118987,10,0.0795495255556981,0.07410060079505931,0.0852321335783437,0.07995276668705054,0.07185554896976602,HDFC Corporate Bond Fund - Growth Option - Direct Plan,True
118989,1,0.248574587375053,-0.3292212265170764,1.0267804996148153,0.2042597788101943,-0.13683940305509065,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,2,0.22556893647095355,-0.18476309423188553,0.5985693974201283,0.2042597788101943,-0.05974747944484123,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,3,0.21199678917015116,-0.08360988882664655,0.43974465202148894,0.2042597788101943,-0.005082584784359236,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,4,0.2039142087671847,0.013664569689742834,0.4502659356187364,0.2042597788101943,0.03271627893342442,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,5,0.19577442972930667,0.00785967066368487,0.3783443516114653,0.2042597788101943,0.051044034729910925,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,6,0.18688285140435004,0.08663936455997501,0.3178086533979174,0.2042597788101943,0.07421073087699503,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,7,0.18210441705300617,0.12370690692060227,0.23462313987734884,0.2042597788101943,0.09556278146688414,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,8,0.18974391935951512,0.13677775194742758,0.25228941031106666,0.2042597788101943,0.10026002436932402,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
118989,9,0.1956403998722673,0.16243313267807102,0.23745217799901197,0.2042597788101943,0.10425526998087055,HDFC Mid Cap Fund - Growth Option - Direct Plan,True
