Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
153086,UTI Nifty Alpha Low-Volatility 30 Index Fund,UTI Asset Mgmt. Co. Ltd.,Open Ended,Other Scheme - Index Funds,UTI Nifty Alpha Low-Volatility 30 Index Fund - Direct Plan - Growth Option,Rs 1000 and in multiple of Rs 1,9.7579,2026-07-17,27.649,April - June 2026,INF789F1AZM9,-,INF789F1AZM9,2024-11-11,
151814,Motilal Oswal Nifty Microcap 250 Index Fund,Motilal Oswal Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Motilal Oswal Nifty Microcap 250 Index Fund- Direct- Growth Option,Rs. 500/- and in multiples of Re. 1/- thereafter.,18.3008,2026-07-17,1527.2995,April - June 2026,INF247L01BQ9,-,INF247L01BQ9,2023-06-15,2023-06-29
153350,Bandhan Nifty Next 50 Index Fund,Bandhan AMC Limited,Open Ended,Other Scheme - Index Funds,Bandhan Nifty Next 50 Index Fund - Direct Plan - Growth,Rs. 1000/- and in multiples of Re. 1/- thereafter,12.6616,2026-07-17,11.4247,April - June 2026,INF194KB1JK7,-,INF194KB1JK7,2025-02-13,
153679,ICICI Prudential Nifty Private Bank Index Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty Private Bank Index Fund - Direct Plan - Growth,1000,10.2278,2026-07-17,,,INF109K1A369,-,INF109K1A369,2025-07-01,
153956,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND,Angel One Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - DIRECT GROWTH,1000,9.981,2026-07-17,7.093999999999999,April - June 2026,INF1J2R01122,-,INF1J2R01122,2025-11-03,
153161,ICICI Prudential Nifty 500 Index Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty 500 Index Fund - Direct Plan - Growth,Rs.100/- (plus in multiple of Re. 1/-),10.5366,2026-07-17,,,INF109KC16Y3,-,INF109KC16Y3,2024-12-10,
154027,Navi Nifty Midsmallcap 400 Index Fund,Navi AMC Limited,Open Ended,Other Scheme - Index Funds,Navi Nifty midsmallcap 400 Index Fund- Direct - Growth,100,10.7232,2026-07-17,8.4847,April - June 2026,INF959L01HR4,-,INF959L01HR4,2025-11-24,
152392,Nippon India Nifty IT Index Fund,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Nippon India Nifty IT Index Fund - Direct Plan - Growth Option,Rs.1000 and in multiples of Re.1 thereafter,8.0207,2026-07-17,120.225,April - June 2026,INF204KC1CE2,-,INF204KC1CE2,2024-02-05,
150733,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund - Direct Plan - Growth,1000,13.417,2026-07-17,,,INF109KC18K8,-,INF109KC18K8,2022-10-04,
153097,HDFC Nifty India Digital Index Fund,HDFC Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,HDFC Nifty India Digital Index Fund - Growth Option - Direct,100,8.323,2026-07-17,62.16310000000001,April - June 2026,INF179KC1JB4,-,INF179KC1JB4,2024-11-22,2024-12-06
153581,Tata Nifty Midcap 150 Index Fund,Tata Asset Management Limited,Open Ended,Other Scheme - Index Funds,Tata Nifty Midcap 150 Index Fund - Direct Plan - Growth Option,Rs. 5000/-,10.9263,2026-07-17,,,INF277KA1DZ9,-,INF277KA1DZ9,2025-06-02,
154310,Edelweiss Nifty LargeMidcap250 Plus 8-13yr G-Sec 70 30 Index Fund,Edelweiss Asset Management Limited,Open Ended,Other Scheme - Index Funds,Edelweiss Nifty LargeMidcap 250 Plus 8-13 yr G-Sec 70-30 Index Fund Direct Plan Growth,Minimum of Rs. 100 /- and in multiples of Re. 1/-,10.8467,2026-07-17,23.1096,April - June 2026,INF754K01WR0,-,INF754K01WR0,2026-03-18,
154306,Zerodha Nifty MidSmallcap400 50 50 Index Fund,Zerodha Asset Management Private Limited,Open Ended,Other Scheme - Index Funds,Zerodha Nifty MidSmallcap400 50 50 Index Fund - Direct Plan - Growth Option,100,11.268,2026-07-17,,,INF0R8F01190,-,INF0R8F01190,2026-03-23,
152535,Navi NiftyIT Index Fund,Navi AMC Limited,Open Ended,Other Scheme - Index Funds,Navi NiftyIT Index Fund - Direct Plan- Growth,Rs. 10 and in multiples of Re.1/- thereafter,8.7261,2026-07-17,20.2972,April - June 2026,INF959L01HM5,-,INF959L01HM5,2024-03-11,
153146,Kotak Nifty 100 Equal Weight Index Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Kotak Nifty 100 Equal Weight Index Fund - Direct Plan - Growth,Rs. 100/- and any amount thereafter,11.06,2026-07-17,34.1596,April - June 2026,INF174KA1TY2,-,INF174KA1TY2,2024-12-02,
149999,ICICI Prudential Nifty SDL Sep 2027 Index Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,ICICI Prudential Nifty SDL Sep 2027 Index Fund - Direct Plan - Growth,1000,13.1845,2026-07-17,,,INF109KC14B6,-,INF109KC14B6,2022-03-22,
150845,HDFC Nifty G-Sec Dec 2026 Index Fund,HDFC Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,HDFC Nifty G-Sec Dec 2026 Index Fund - Growth Option - Direct Plan,100,12.947,2026-07-17,858.1497,April - June 2026,INF179KC1EE9,-,INF179KC1EE9,2022-11-01,2022-11-09
153786,Groww Nifty Next 50 Index Fund,Groww Asset Management Limited,Open Ended,Other Scheme - Index Funds,Groww Nifty Next 50 Index Fund Direct Growth,Rs. 500 and in multiples of  Re. 1,10.6283,2026-07-17,6.8889,April - June 2026,INF666M01LT1,-,INF666M01LT1,2025-08-06,2025-08-20
